category,group,name,name,default,shortDesc,longDesc,type,max,min,units,decimalPlaces,values,rebootRequired,bitmask,volatile,increment
System,Commander,COM_MODE5_HASH,COM_MODE5_HASH,0,External mode identifier 5,"This parameter is automatically set to identify external modes. It ensures that modes get assigned to the same index independent from their startup order, which is required when mapping an external mode to an RC switch.",Int32,,,,,,FALSE,,TRUE,
System,Commander,COM_MODE6_HASH,COM_MODE6_HASH,0,External mode identifier 6,"This parameter is automatically set to identify external modes. It ensures that modes get assigned to the same index independent from their startup order, which is required when mapping an external mode to an RC switch.",Int32,,,,,,FALSE,,TRUE,
System,Commander,COM_MODE7_HASH,COM_MODE7_HASH,0,External mode identifier 7,"This parameter is automatically set to identify external modes. It ensures that modes get assigned to the same index independent from their startup order, which is required when mapping an external mode to an RC switch.",Int32,,,,,,FALSE,,TRUE,
Standard,Commander,COM_MOT_TEST_EN,COM_MOT_TEST_EN,1,Enable Actuator Testing,"If set, enables the actuator test interface via MAVLink (ACTUATOR_TEST), that allows spinning the motors and moving the servos for testing purposes.",Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Enabled', 'value': 1}]",FALSE,,FALSE,
Standard,Commander,COM_OBC_LOSS_T,COM_OBC_LOSS_T,5,Time-out to wait when onboard computer connection is lost before warning about loss connection,,Float,60,0,s,,,FALSE,,FALSE,0.01
Standard,Commander,COM_OBL_RC_ACT,COM_OBL_RC_ACT,0,Set offboard loss failsafe mode,"The offboard loss failsafe will only be entered after a timeout, set by COM_OF_LOSS_T in seconds.",Int32,,,,,"[{'description': 'Position mode', 'value': 0}, {'description': 'Altitude mode', 'value': 1}, {'description': 'Stabilized', 'value': 2}, {'description': 'Return mode', 'value': 3}, {'description': 'Land mode', 'value': 4}, {'description': 'Hold mode', 'value': 5}, {'description': 'Terminate', 'value': 6}, {'description': 'Disarm', 'value': 7}]",FALSE,,FALSE,
Standard,Commander,COM_OBS_AVOID,COM_OBS_AVOID,0,Flag to enable obstacle avoidance,,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Enabled', 'value': 1}]",FALSE,,FALSE,
Standard,Commander,COM_OF_LOSS_T,COM_OF_LOSS_T,1,Time-out to wait when offboard connection is lost before triggering offboard lost action,See COM_OBL_RC_ACT to configure action.,Float,60,0,s,,,FALSE,,FALSE,0.01
Standard,Commander,COM_PARACHUTE,COM_PARACHUTE,0,Expect and require a healthy MAVLink parachute system,,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Enabled', 'value': 1}]",FALSE,,FALSE,
Standard,Commander,COM_POSCTL_NAVL,COM_POSCTL_NAVL,0,Position mode navigation loss response,This sets the flight mode that will be used if navigation accuracy is no longer adequate for position control in manual Position mode.,Int32,,,,,"[{'description': 'Altitude mode', 'value': 0}, {'description': 'Land mode (descend)', 'value': 1}]",FALSE,,FALSE,
Standard,Commander,COM_POS_FS_DELAY,COM_POS_FS_DELAY,1,Loss of position failsafe activation delay,"This sets number of seconds that the position checks need to be failed before the failsafe will activate. The default value has been optimised for rotary wing applications. For fixed wing applications, a larger value between 5 and 10 should be used.",Int32,100,1,s,,,FALSE,,FALSE,
Standard,Commander,COM_POS_FS_EPH,COM_POS_FS_EPH,5,Horizontal position error threshold,"This is the horizontal position error (EPH) threshold that will trigger a failsafe. The default is appropriate for a multicopter. Can be increased for a fixed-wing. If the previous position error was below this threshold, there is an additional factor of 2.5 applied (threshold for invalidation 2.5 times the one for validation). Set to -1 to disable.",Float,400,-1,m,1,,FALSE,,FALSE,
Standard,Commander,COM_POS_LOW_EPH,COM_POS_LOW_EPH,-1,EPH threshold for RTL,"Specify the threshold for triggering a warning for low local position accuracy. Additionally triggers a RTL if currently in Mission or Loiter mode. Local position has to be still declared valid, which is most of all depending on COM_POS_FS_EPH. Use this feature on systems with dead-reckoning capabilites (e.g. fixed-wing vehicles with airspeed sensor) to improve the user notification and failure mitigation when flying in GNSS-denied areas. Set to -1 to disable.",Float,1000,-1,m,,,FALSE,,FALSE,
Standard,Commander,COM_POWER_COUNT,COM_POWER_COUNT,1,Required number of redundant power modules,This configures a check to verify the expected number of 5V rail power supplies are present. By default only one is expected. Note: CBRK_SUPPLY_CHK disables all power checks including this one.,Int32,4,0,,,,FALSE,,FALSE,
Standard,Commander,COM_PREARM_MODE,COM_PREARM_MODE,0,Condition to enter prearmed mode,"Condition to enter the prearmed state, an intermediate state between disarmed and armed in which non-throttling actuators are active.",Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Safety button', 'value': 1}, {'description': 'Always', 'value': 2}]",FALSE,,FALSE,
Standard,Commander,COM_QC_ACT,COM_QC_ACT,0,Set command after a quadchute,,Int32,,,,,"[{'description': 'Warning only', 'value': -1}, {'description': 'Return mode', 'value': 0}, {'description': 'Land mode', 'value': 1}, {'description': 'Hold mode', 'value': 2}]",FALSE,,FALSE,
Standard,Commander,COM_RAM_MAX,COM_RAM_MAX,95,Maximum allowed RAM usage to pass checks,The check fails if the RAM usage is above this threshold. A negative value disables the check.,Float,100,-1,%,,,FALSE,,FALSE,1
Standard,Commander,COM_RCL_EXCEPT,COM_RCL_EXCEPT,0,RC loss exceptions,Specify modes in which RC loss is ignored and the failsafe action not triggered.,Int32,31,0,,,,FALSE,"[{'description': 'Mission', 'index': 0}, {'description': 'Hold', 'index': 1}, {'description': 'Offboard', 'index': 2}]",FALSE,
Standard,Commander,COM_RC_ARM_HYST,COM_RC_ARM_HYST,1000,RC input arm/disarm command duration,The default value of 1000 requires the stick to be held in the arm or disarm position for 1 second.,Int32,1500,100,ms,,,FALSE,,FALSE,
Standard,Commander,COM_RC_IN_MODE,COM_RC_IN_MODE,3,RC control input mode,"A value of 0 enables RC transmitter control (only). A valid RC transmitter calibration is required. A value of 1 allows joystick control only. RC input handling and the associated checks are disabled. A value of 2 allows either RC Transmitter or Joystick input. The first valid input is used, will fallback to other sources if the input stream becomes invalid. A value of 3 allows either input from RC or joystick. The first available source is selected and used until reboot. A value of 4 ignores any stick input.",Int32,4,0,,,"[{'description': 'RC Transmitter only', 'value': 0}, {'description': 'Joystick only', 'value': 1}, {'description': 'RC and Joystick with fallback', 'value': 2}, {'description': 'RC or Joystick keep first', 'value': 3}, {'description': 'Stick input disabled', 'value': 4}]",FALSE,,FALSE,
Standard,Commander,COM_RC_LOSS_T,COM_RC_LOSS_T,0.5,Manual control loss timeout,"The time in seconds without a new setpoint from RC or Joystick, after which the connection is considered lost. This must be kept short as the vehicle will use the last supplied setpoint until the timeout triggers.",Float,35,0,s,1,,FALSE,,FALSE,0.1
Standard,Commander,COM_RC_OVERRIDE,COM_RC_OVERRIDE,1,Enable RC stick override of auto and/or offboard modes,"When RC stick override is enabled, moving the RC sticks more than COM_RC_STICK_OV immediately gives control back to the pilot by switching to Position mode and if position is unavailable Altitude mode. Note: Only has an effect on multicopters, and VTOLs in multicopter mode.",Int32,3,0,,,,FALSE,"[{'description': 'Enable override during auto modes (except for in critical battery reaction)', 'index': 0}, {'description': 'Enable override during offboard mode', 'index': 1}]",FALSE,
Standard,Commander,COM_RC_STICK_OV,COM_RC_STICK_OV,30,RC stick override threshold,If COM_RC_OVERRIDE is enabled and the joystick input is moved more than this threshold the autopilot the pilot takes over control.,Float,80,5,%,0,,FALSE,,FALSE,0.05
Standard,Commander,COM_SPOOLUP_TIME,COM_SPOOLUP_TIME,1,Enforced delay between arming and further navigation,The minimal time from arming the motors until moving the vehicle is possible is COM_SPOOLUP_TIME seconds. Goal: - Motors and propellers spool up to idle speed before getting commanded to spin faster - Timeout for ESCs and smart batteries to successfulyy do failure checks e.g. for stuck rotors before the vehicle is off the ground,Float,30,0,s,1,,FALSE,,FALSE,0.1
Standard,Commander,COM_TAKEOFF_ACT,COM_TAKEOFF_ACT,0,Action after TAKEOFF has been accepted,The mode transition after TAKEOFF has completed successfully.,Int32,,,,,"[{'description': 'Hold', 'value': 0}, {'description': 'Mission (if valid)', 'value': 1}]",FALSE,,FALSE,
Standard,Commander,COM_THROW_EN,COM_THROW_EN,0,Enable throw-start,Allows to start the vehicle by throwing it into the air.,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Enabled', 'value': 1}]",FALSE,,FALSE,
Standard,Commander,COM_THROW_SPEED,COM_THROW_SPEED,5,Minimum speed for the throw start,"When the throw launch is enabled, the drone will only arm after this speed is exceeded before detecting the freefall. This is a safety feature to ensure the drone does not turn on after accidental drop or a rapid movement before the throw. Set to 0 to disable.",Float,,0,m/s,1,,FALSE,,FALSE,0.1
Standard,Commander,COM_VEL_FS_EVH,COM_VEL_FS_EVH,1,Horizontal velocity error threshold,"This is the horizontal velocity error (EVH) threshold that will trigger a failsafe. The default is appropriate for a multicopter. Can be increased for a fixed-wing. If the previous velocity error was below this threshold, there is an additional factor of 2.5 applied (threshold for invalidation 2.5 times the one for validation).",Float,,0,m/s,1,,FALSE,,FALSE,
Standard,Commander,COM_WIND_MAX,COM_WIND_MAX,-1,High wind speed failsafe threshold,Wind speed threshold above which an automatic failsafe action is triggered. Failsafe action can be specified with COM_WIND_MAX_ACT.,Float,,-1,m/s,1,,FALSE,,FALSE,0.1
Standard,Commander,COM_WIND_MAX_ACT,COM_WIND_MAX_ACT,0,High wind failsafe mode,"Action the system takes when a wind speed above the specified threshold is detected. See COM_WIND_MAX to set the failsafe threshold. If enabled, it is not possible to resume the mission or switch to any auto mode other than RTL or Land if this threshold is exceeded. Taking over in any manual mode is still possible.",Int32,,,,,"[{'description': 'None', 'value': 0}, {'description': 'Warning', 'value': 1}, {'description': 'Hold', 'value': 2}, {'description': 'Return', 'value': 3}, {'description': 'Terminate', 'value': 4}, {'description': 'Land', 'value': 5}]",FALSE,,FALSE,1
Standard,Commander,COM_WIND_WARN,COM_WIND_WARN,-1,Wind speed warning threshold,A warning is triggered if the currently estimated wind speed is above this value. Warning is sent periodically (every 1 minute). Set to -1 to disable.,Float,,-1,m/s,1,,FALSE,,FALSE,0.1
Standard,Commander,NAV_DLL_ACT,NAV_DLL_ACT,0,Set GCS connection loss failsafe mode,"The GCS connection loss failsafe will only be entered after a timeout, set by COM_DL_LOSS_T in seconds. Once the timeout occurs the selected action will be executed.",Int32,6,0,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Hold mode', 'value': 1}, {'description': 'Return mode', 'value': 2}, {'description': 'Land mode', 'value': 3}, {'description': 'Terminate', 'value': 5}, {'description': 'Disarm', 'value': 6}]",FALSE,,FALSE,
Standard,Commander,NAV_RCL_ACT,NAV_RCL_ACT,2,Set RC loss failsafe mode,"The RC loss failsafe will only be entered after a timeout, set by COM_RC_LOSS_T in seconds. If RC input checks have been disabled by setting the COM_RC_IN_MODE param it will not be triggered.",Int32,6,1,,,"[{'description': 'Hold mode', 'value': 1}, {'description': 'Return mode', 'value': 2}, {'description': 'Land mode', 'value': 3}, {'description': 'Terminate', 'value': 5}, {'description': 'Disarm', 'value': 6}]",FALSE,,FALSE,
Standard,EKF2,EKF2_ABIAS_INIT,EKF2_ABIAS_INIT,0.2,1-sigma IMU accelerometer switch-on bias,,Float,0.5,0,m/s^2,2,,TRUE,,FALSE,
Standard,EKF2,EKF2_ABL_ACCLIM,EKF2_ABL_ACCLIM,25,Maximum IMU accel magnitude that allows IMU bias learning,"If the magnitude of the IMU accelerometer vector exceeds this value, the EKF accel bias state estimation will be inhibited. This reduces the adverse effect of high manoeuvre accelerations and IMU nonlinerity and scale factor errors on the accel bias estimates.",Float,200,20,m/s^2,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_ABL_GYRLIM,EKF2_ABL_GYRLIM,3,Maximum IMU gyro angular rate magnitude that allows IMU bias learning,"If the magnitude of the IMU angular rate vector exceeds this value, the EKF accel bias state estimation will be inhibited. This reduces the adverse effect of rapid rotation rates and associated errors on the accel bias estimates.",Float,20,2,rad/s,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_ABL_LIM,EKF2_ABL_LIM,0.4,Accelerometer bias learning limit,The ekf accel bias states will be limited to within a range equivalent to +- of this value.,Float,0.8,0,m/s^2,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_ABL_TAU,EKF2_ABL_TAU,0.5,Accel bias learning inhibit time constant,The vector magnitude of angular rate and acceleration used to check if learning should be inhibited has a peak hold filter applied to it with an exponential decay. This parameter controls the time constant of the decay.,Float,1,0.1,s,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_ACC_B_NOISE,EKF2_ACC_B_NOISE,0.003,Process noise for IMU accelerometer bias prediction,,Float,0.01,0,m/s^3,6,,FALSE,,FALSE,
Standard,EKF2,EKF2_ACC_NOISE,EKF2_ACC_NOISE,0.35,Accelerometer noise for covariance prediction,,Float,1,0.01,m/s^2,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_AGP_CTRL,EKF2_AGP_CTRL,0,Aux global position (AGP) sensor aiding,Set bits in the following positions to enable: 0 : Horizontal position fusion 1 : Vertical position fusion,Int32,3,0,,,,FALSE,"[{'description': 'Horizontal position', 'index': 0}, {'description': 'Vertical position', 'index': 1}]",FALSE,
Standard,EKF2,EKF2_AGP_DELAY,EKF2_AGP_DELAY,0,Aux global position estimator delay relative to IMU measurements,,Float,300,0,ms,1,,TRUE,,FALSE,
Standard,EKF2,EKF2_AGP_GATE,EKF2_AGP_GATE,3,Gate size for aux global position fusion,Sets the number of standard deviations used by the innovation consistency test.,Float,,1,SD,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_AGP_NOISE,EKF2_AGP_NOISE,0.9,Measurement noise for aux global position measurements,Used to lower bound or replace the uncertainty included in the message,Float,,0.01,m,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_ANGERR_INIT,EKF2_ANGERR_INIT,0.1,1-sigma tilt angle uncertainty after gravity vector alignment,,Float,0.5,0,rad,3,,TRUE,,FALSE,
Standard,EKF2,EKF2_ARSP_THR,EKF2_ARSP_THR,0,Airspeed fusion threshold,Airspeed data is fused for wind estimation if above this threshold. Set to 0 to disable airspeed fusion. For reliable wind estimation both sideslip (see EKF2_FUSE_BETA) and airspeed fusion should be enabled. Only applies to fixed-wing vehicles (or VTOLs in fixed-wing mode).,Float,,0,m/s,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_ASPD_MAX,EKF2_ASPD_MAX,20,Maximum airspeed used for baro static pressure compensation,,Float,50,5,m/s,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_ASP_DELAY,EKF2_ASP_DELAY,100,Airspeed measurement delay relative to IMU measurements,,Float,300,0,ms,1,,TRUE,,FALSE,
Standard,EKF2,EKF2_AVEL_DELAY,EKF2_AVEL_DELAY,5,Auxiliary Velocity Estimate delay relative to IMU measurements,,Float,300,0,ms,1,,TRUE,,FALSE,
Standard,EKF2,EKF2_BARO_CTRL,EKF2_BARO_CTRL,1,Barometric sensor height aiding,If this parameter is enabled then the estimator will make use of the barometric height measurements to estimate its height in addition to other height sources (if activated).,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Enabled', 'value': 1}]",FALSE,,FALSE,
Standard,EKF2,EKF2_BARO_DELAY,EKF2_BARO_DELAY,0,Barometer measurement delay relative to IMU measurements,,Float,300,0,ms,1,,TRUE,,FALSE,
Standard,EKF2,EKF2_BARO_GATE,EKF2_BARO_GATE,5,Gate size for barometric and GPS height fusion,Sets the number of standard deviations used by the innovation consistency test.,Float,,1,SD,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_BARO_NOISE,EKF2_BARO_NOISE,3.5,Measurement noise for barometric altitude,,Float,15,0.01,m,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_BCOEF_X,EKF2_BCOEF_X,100,X-axis ballistic coefficient used for multi-rotor wind estimation,This parameter controls the prediction of drag produced by bluff body drag along the forward/reverse axis when flying a multi-copter which enables estimation of wind drift when enabled by the EKF2_DRAG_CTRL parameter. The drag produced by this effect scales with speed squared. The predicted drag from the rotors is specified separately by the EKF2_MCOEF parameter. Set this parameter to zero to turn off the bluff body drag model for this axis.,Float,200,0,kg/m^2,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_BCOEF_Y,EKF2_BCOEF_Y,100,Y-axis ballistic coefficient used for multi-rotor wind estimation,"This parameter controls the prediction of drag produced by bluff body drag along the right/left axis when flying a multi-copter, which enables estimation of wind drift when enabled by the EKF2_DRAG_CTRL parameter. The drag produced by this effect scales with speed squared. The predicted drag from the rotors is specified separately by the EKF2_MCOEF parameter. Set this parameter to zero to turn off the bluff body drag model for this axis.",Float,200,0,kg/m^2,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_BETA_GATE,EKF2_BETA_GATE,5,Gate size for synthetic sideslip fusion,Sets the number of standard deviations used by the innovation consistency test.,Float,,1,SD,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_BETA_NOISE,EKF2_BETA_NOISE,0.3,Noise for synthetic sideslip fusion,,Float,1,0.1,m/s,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_DECL_TYPE,EKF2_DECL_TYPE,3,Integer bitmask controlling handling of magnetic declination,"Set bits in the following positions to enable functions. 0 : Set to true to use the declination from the geo_lookup library when the GPS position becomes available, set to false to always use the EKF2_MAG_DECL value. 1 : Set to true to save the EKF2_MAG_DECL parameter to the value returned by the EKF when the vehicle disarms.",Int32,3,0,,,,TRUE,"[{'description': 'use geo_lookup declination', 'index': 0}, {'description': 'save EKF2_MAG_DECL on disarm', 'index': 1}]",FALSE,
Standard,EKF2,EKF2_DELAY_MAX,EKF2_DELAY_MAX,200,Maximum delay of all the aiding sensors,Defines the delay between the current time and the delayed-time horizon. This value should be at least as large as the largest EKF2_XXX_DELAY parameter.,Float,1000,0,ms,1,,TRUE,,FALSE,
Standard,EKF2,EKF2_DRAG_CTRL,EKF2_DRAG_CTRL,0,Multirotor wind estimation selection,Activate wind speed estimation using specific-force measurements and a drag model defined by EKF2_BCOEF_[XY] and EKF2_MCOEF. Only use on vehicles that have their thrust aligned with the Z axis and no thrust in the XY plane.,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Enabled', 'value': 1}]",FALSE,,FALSE,
Standard,EKF2,EKF2_DRAG_NOISE,EKF2_DRAG_NOISE,2.5,Specific drag force observation noise variance,Used by the multi-rotor specific drag force model. Increasing this makes the multi-rotor wind estimates adjust more slowly.,Float,10,0.5,(m/s^2)^2,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_EAS_NOISE,EKF2_EAS_NOISE,1.4,Measurement noise for airspeed fusion,,Float,5,0.5,m/s,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_EN,EKF2_EN,1,EKF2 enable,,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Enabled', 'value': 1}]",FALSE,,FALSE,
Standard,EKF2,EKF2_EVA_NOISE,EKF2_EVA_NOISE,0.1,Measurement noise for vision angle measurements,Used to lower bound or replace the uncertainty included in the message,Float,,0.05,rad,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_EVP_GATE,EKF2_EVP_GATE,5,Gate size for vision position fusion,Sets the number of standard deviations used by the innovation consistency test.,Float,,1,SD,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_EVP_NOISE,EKF2_EVP_NOISE,0.1,Measurement noise for vision position measurements,Used to lower bound or replace the uncertainty included in the message,Float,,0.01,m,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_EVV_GATE,EKF2_EVV_GATE,3,Gate size for vision velocity estimate fusion,Sets the number of standard deviations used by the innovation consistency test.,Float,,1,SD,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_EVV_NOISE,EKF2_EVV_NOISE,0.1,Measurement noise for vision velocity measurements,Used to lower bound or replace the uncertainty included in the message,Float,,0.01,m/s,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_EV_CTRL,EKF2_EV_CTRL,0,External vision (EV) sensor aiding,Set bits in the following positions to enable: 0 : Horizontal position fusion 1 : Vertical position fusion 2 : 3D velocity fusion 3 : Yaw,Int32,15,0,,,,FALSE,"[{'description': 'Horizontal position', 'index': 0}, {'description': 'Vertical position', 'index': 1}, {'description': '3D velocity', 'index': 2}, {'description': 'Yaw', 'index': 3}]",FALSE,
Standard,EKF2,EKF2_EV_DELAY,EKF2_EV_DELAY,0,Vision Position Estimator delay relative to IMU measurements,,Float,300,0,ms,1,,TRUE,,FALSE,
Standard,EKF2,EKF2_EV_NOISE_MD,EKF2_EV_NOISE_MD,0,External vision (EV) noise mode,"If set to 0 (default) the measurement noise is taken from the vision message and the EV noise parameters are used as a lower bound. If set to 1 the observation noise is set from the parameters directly,",Int32,,,,,"[{'description': 'EV reported variance (parameter lower bound)', 'value': 0}, {'description': 'EV noise parameters', 'value': 1}]",FALSE,,FALSE,
Standard,EKF2,EKF2_EV_POS_X,EKF2_EV_POS_X,0,X position of VI sensor focal point in body frame,Forward axis with origin relative to vehicle centre of gravity,Float,,,m,3,,FALSE,,FALSE,
Standard,EKF2,EKF2_EV_POS_Y,EKF2_EV_POS_Y,0,Y position of VI sensor focal point in body frame,Forward axis with origin relative to vehicle centre of gravity,Float,,,m,3,,FALSE,,FALSE,
Standard,EKF2,EKF2_EV_POS_Z,EKF2_EV_POS_Z,0,Z position of VI sensor focal point in body frame,Forward axis with origin relative to vehicle centre of gravity,Float,,,m,3,,FALSE,,FALSE,
Standard,EKF2,EKF2_EV_QMIN,EKF2_EV_QMIN,0,External vision (EV) minimum quality (optional),External vision will only be started and fused if the quality metric is above this threshold. The quality metric is a completely optional field provided by some VIO systems.,Int32,100,0,,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_FUSE_BETA,EKF2_FUSE_BETA,0,Enable synthetic sideslip fusion,For reliable wind estimation both sideslip and airspeed fusion (see EKF2_ARSP_THR) should be enabled. Only applies to fixed-wing vehicles (or VTOLs in fixed-wing mode). Note: side slip fusion is currently not supported for tailsitters.,Int32,,,,,"[{'description': 'Disabled', 'value': 0}, {'description': 'Enabled', 'value': 1}]",FALSE,,FALSE,
Standard,EKF2,EKF2_GBIAS_INIT,EKF2_GBIAS_INIT,0.1,1-sigma IMU gyro switch-on bias,,Float,0.2,0,rad/s,2,,TRUE,,FALSE,
Standard,EKF2,EKF2_GND_EFF_DZ,EKF2_GND_EFF_DZ,4,Baro deadzone range for height fusion,Sets the value of deadzone applied to negative baro innovations. Deadzone is enabled when EKF2_GND_EFF_DZ > 0.,Float,10,0,m,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_GND_MAX_HGT,EKF2_GND_MAX_HGT,0.5,Height above ground level for ground effect zone,Sets the maximum distance to the ground level where negative baro innovations are expected.,Float,5,0,m,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_GPS_CHECK,EKF2_GPS_CHECK,1023,Integer bitmask controlling GPS checks,Each threshold value is defined by the parameter indicated next to the check. Drift and offset checks only run when the vehicle is on ground and stationary.,Int32,1023,0,,,,FALSE,"[{'description': 'Sat count (EKF2_REQ_NSATS)', 'index': 0}, {'description': 'PDOP (EKF2_REQ_PDOP)', 'index': 1}, {'description': 'EPH (EKF2_REQ_EPH)', 'index': 2}, {'description': 'EPV (EKF2_REQ_EPV)', 'index': 3}, {'description': 'Speed accuracy (EKF2_REQ_SACC)', 'index': 4}, {'description': 'Horizontal position drift (EKF2_REQ_HDRIFT)', 'index': 5}, {'description': 'Vertical position drift (EKF2_REQ_VDRIFT)', 'index': 6}, {'description': 'Horizontal speed offset (EKF2_REQ_HDRIFT)', 'index': 7}, {'description': 'Vertical speed offset (EKF2_REQ_VDRIFT)', 'index': 8}, {'description': 'Spoofing', 'index': 9}]",FALSE,
Standard,EKF2,EKF2_GPS_CTRL,EKF2_GPS_CTRL,7,GNSS sensor aiding,Set bits in the following positions to enable: 0 : Longitude and latitude fusion 1 : Altitude fusion 2 : 3D velocity fusion 3 : Dual antenna heading fusion,Int32,15,0,,,,FALSE,"[{'description': 'Lon/lat', 'index': 0}, {'description': 'Altitude', 'index': 1}, {'description': '3D velocity', 'index': 2}, {'description': 'Dual antenna heading', 'index': 3}]",FALSE,
Standard,EKF2,EKF2_GPS_DELAY,EKF2_GPS_DELAY,110,GPS measurement delay relative to IMU measurements,,Float,300,0,ms,1,,TRUE,,FALSE,
Standard,EKF2,EKF2_GPS_POS_X,EKF2_GPS_POS_X,0,X position of GPS antenna in body frame,Forward axis with origin relative to vehicle centre of gravity,Float,,,m,3,,FALSE,,FALSE,
Standard,EKF2,EKF2_GPS_POS_Y,EKF2_GPS_POS_Y,0,Y position of GPS antenna in body frame,Forward axis with origin relative to vehicle centre of gravity,Float,,,m,3,,FALSE,,FALSE,
Standard,EKF2,EKF2_GPS_POS_Z,EKF2_GPS_POS_Z,0,Z position of GPS antenna in body frame,Forward axis with origin relative to vehicle centre of gravity,Float,,,m,3,,FALSE,,FALSE,
Standard,EKF2,EKF2_GPS_P_GATE,EKF2_GPS_P_GATE,5,Gate size for GNSS position fusion,Sets the number of standard deviations used by the innovation consistency test.,Float,,1,SD,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_GPS_P_NOISE,EKF2_GPS_P_NOISE,0.5,Measurement noise for GNSS position,,Float,10,0.01,m,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_GPS_V_GATE,EKF2_GPS_V_GATE,5,Gate size for GNSS velocity fusion,Sets the number of standard deviations used by the innovation consistency test.,Float,,1,SD,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_GPS_V_NOISE,EKF2_GPS_V_NOISE,0.3,Measurement noise for GNSS velocity,,Float,5,0.01,m/s,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_GRAV_NOISE,EKF2_GRAV_NOISE,1,Accelerometer measurement noise for gravity based observations,,Float,10,0.1,g0,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_GSF_TAS,EKF2_GSF_TAS,15,Default value of true airspeed used in EKF-GSF AHRS calculation,"If no airspeed measurements are available, the EKF-GSF AHRS calculation will assume this value of true airspeed when compensating for centripetal acceleration during turns. Set to zero to disable centripetal acceleration compensation during fixed wing flight modes.",Float,100,0,m/s,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_GYR_B_LIM,EKF2_GYR_B_LIM,0.15,Gyro bias learning limit,The ekf gyro bias states will be limited to within a range equivalent to +- of this value.,Float,0.4,0,rad/s,3,,FALSE,,FALSE,
Standard,EKF2,EKF2_GYR_B_NOISE,EKF2_GYR_B_NOISE,0.001,Process noise for IMU rate gyro bias prediction,,Float,0.01,0,rad/s^2,6,,FALSE,,FALSE,
Standard,EKF2,EKF2_GYR_NOISE,EKF2_GYR_NOISE,0.015,Rate gyro noise for covariance prediction,,Float,0.1,0.0001,rad/s,4,,FALSE,,FALSE,
Standard,EKF2,EKF2_HDG_GATE,EKF2_HDG_GATE,2.6,Gate size for heading fusion,Sets the number of standard deviations used by the innovation consistency test.,Float,,1,SD,1,,FALSE,,FALSE,
Standard,EKF2,EKF2_HEAD_NOISE,EKF2_HEAD_NOISE,0.3,Measurement noise for magnetic heading fusion,,Float,1,0.01,rad,2,,FALSE,,FALSE,
Standard,EKF2,EKF2_HGT_REF,EKF2_HGT_REF,1,Determines the reference source of height data used by the EKF,"When multiple height sources are enabled at the same time, the height estimate will always converge towards the reference height source selected by this parameter. The range sensor and vision options should only be used when for operation over a flat surface as the local NED origin will move up and down with ground level.",Int32,,,,,"[{'description': 'Barometric pressure', 'value': 0}, {'description': 'GPS', 'value': 1}, {'description': 'Range sensor', 'value': 2}, {'description': 'Vision', 'value': 3}]",TRUE,,FALSE,
Standard,EKF2,EKF2_IMU_CTRL,EKF2_IMU_CTRL,7,IMU control,,Int32,7,0,,,,FALSE,"[{'description': 'Gyro Bias', 'index': 0}, {'description': 'Accel Bias', 'index': 1}, {'description': 'Gravity vector fusion', 'index': 2}]",FALSE,
